order_id,customer_id,customer_name,product_category,product_name,product_id,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,72-6971165,Georgeanne Hearley,Health & Beauty,Deodorant,803,Wallet,6,$22.12 ,4/30/2021 3:47,Croatia,Sukošan,costco.com,21-7559369,N,Insufficient Funds
2,29-5760454,Sigismondo Daines,Grocery,Chicken Breast,301,UPI,2,$7.69 ,8/8/2021 1:42,Philippines,Tran,alibaba.com,84-0513364,Y,
3,23-0515404,Sheffie Jakes,Grocery,Bread,305,Card,4,"$10,003.00 ",6/14/2021 13:30,Zambia,Chadiza,samsclub.com,51-3541726,Y,
4,76-3257855,Maddie Chadwyck,Health & Beauty,Daily Multi-Vitamins,805,Internet Banking,8,$120.45 ,9/11/2021 17:35,Iran,Sūrīān,ebay.com,08-5151038,Y,
5,38-9264514,Christan Bryde,Home Goods,Candles,701,UPI,6,$42.11 ,12/13/2021 1:29,Indonesia,Bulahblangaro,target.com,15-1994688,N,Invalid Card Number
6,69-7445910,Justus McDowall,Outdoor Equipment,Baseball Bat,201,Wallet,10,$875.67 ,3/9/2021 10:18,United States,Albuquerque,walmart.com,02-0430472,Y,
7,44-5037703,Tristam Sinderson,Electronics,Tablet,4,Card,6,"$1,266.88 ",11/16/2021 2:04,Russia,Inta,costco.com,93-3881940,Y,
8,03-1637587,Salem Ondrusek,Outdoor Equipment,Tent,205,Card,5,$412.12 ,6/6/2021 12:39,China,Huliao,ebay.com,72-9611001,N,Invalid Billing Address
9,21-6070492,Homere Meyer,Health & Beauty,Toothpaste,804,Card,2,$218.62 ,6/25/2021 10:58,China,Sanhe,ebay.com,01-4035369,Y,
10,90-2056670,Marcelia Spellicy,Office Supplies,Stapler,103,Wallet,1,$10.56 ,3/1/2021 6:35,Argentina,Albardón,amazon.com,63-1497224,Y,
11,70-7037126,Jada Sherwood,Clothing,Tie,404,Internet Banking,2,$41.24 ,10/18/2021 20:43,Japan,Dazaifu,walmart.com,17-4394580,Y,
12,57-1767094,Bobina Legrand,Home Goods,Storage Container,704,Card,3,$64.12 ,7/16/2025 13:02,Netherlands,Haarlem,target.com,19-3644583,N,Invalid Billing Address
13,43-0586587,Blinni Adamides,Baby Products,Baby Wipes,904,UPI,2,$10.22 ,6/12/2021 6:06,Portugal,Pereiro,ebay.com,22-4668249,Y,
14,24-9378441,Leon McGarel,Outdoor Equipment,Gardening Shovel,202,UPI,6,$150.23 ,9/6/2021 15:06,Paraguay,Caazapá,alibaba.com,,Y,
15,73-2101195,Maddie Shelmerdine,Automotive,Power Steering Fluid,603,UPI,1,$8.78 ,7/23/2021 20:45,Russia,Teeli,walmart.com,14-1819836,Y,
16,47-3345457,Heath Pauling,Automotive,Antifreeze,604,Wallet,4,$26.33 ,12/15/2021 6:07,Colombia,Giraldo,amazon.com,56-6663467,Y,
17,63-3108717,Vonni Korda,Home Goods,Candles,701,Internet Banking,3,$21.04 ,12/26/2021 6:55,Thailand,Sida,walmart.com,00-1475070,Y,
18,12-8728558,Jodi Robbs,Entertainment,Movie/DVD/BlueRay,501,Internet Banking,7,$119.67 ,6/9/2021 9:00,China,Shiyu,target.com,25-6822115,Y,
19,33-9316674,Rip Hendrix,Health & Beauty,Face Lotion,801,UPI,9,$37.89 ,1/7/2021 7:28,Russia,Belgorod,target.com,74-0765462,N,Insufficient Funds
20,65-5964933,,Health & Beauty,Deodorant,803,Internet Banking,4,$14.40 ,6/15/2021 4:32,Greece,Plomárion,amazon.com,63-4324398,N,Invalid Card Number
21,18-4503206,Charlene Walrond,Home Goods,Blankets,702,Wallet,5,$100.07 ,7/30/2021 5:51,China,Xiangquan,samsclub.com,99-1666810,Y,
22,70-1916163,Sharl McKeggie,Automotive,Antifreeze,604,Wallet,7,$55.97 ,7/26/2021 4:46,Russia,Galitsy,amazon.com,52-3839728,Y,
23,45-1737606,Sheffie Clayhill,Home Goods,Candles,701,Wallet,4,$33.56 ,4/22/2021 11:45,Philippines,Pura,samsclub.com,28-7905252,Y,
24,86-3085728,Appolonia Hansford,Baby Products,Diapers,901,UPI,5,$67.88 ,2/25/2021 14:25,Serbia,Radenković,walmart.com,57-9671817,Y,
25,18-2798193,Kimbell Bysh,Clothing,Dress Shirt,401,Card,10,$134.34 ,11/8/2021 6:01,Portugal,Torres Vedras,costco.com,01-2780310,N,Invalid CVV
26,22-6516722,Frazier Sandy,Health & Beauty,Toothpaste,804,Card,1,($4.20),1/17/2021 20:29,United States,Wilmington,ebay.com,42-1757113,Y,
27,87-7810059,Allard Royall,Office Supplies,Pen,101,UPI,2,$5.67 ,11/3/2021 12:28,Philippines,Libas,ebay.com,83-1561905,Y,
28,14-7772487,Gunter Dmitrienko,Grocery,Gallon of Milk,302,Wallet,1,$695.30 ,2/9/2021 3:22,Georgia,Sokhumi,alibaba.com,67-1750443,N,Invalid CVV
29,87-8551188,Bibbye McMichael,Office Supplies,Ream of Paper,102,Wallet,6,$15.33 ,7/23/2021 22:09,Bahamas,Lucaya,ebay.com,06-8267153,Y,
30,55-7149154,Wes Preator,Automotive,Antifreeze,604,Wallet,6,$48.54 ,1/17/2021 0:09,Brazil,Palmas,amazon.com,64-6189450,Y,
31,49-6458613,Ingaberg Goare,Entertainment,Video Game,503,Wallet,6,$124.97 ,10/26/2021 23:43,Indonesia,Cikadongdong,walmart.com,31-9761167,Y,
32,29-7685394,Roxi Pill,Baby Products,Stroller,903,Internet Banking,5,$434.78 ,10/18/2021 2:30,Philippines,San Vicente,alibaba.com,14-8673782,N,Invalid Expiration Date
33,97-2697097,Adora Freen,Clothing,Tie,404,Internet Banking,6,$122.42 ,5/14/2021 14:51,China,Pantang,walmart.com,05-5597428,Y,
34,86-3751044,Sophronia Cowely,Home Goods,Rugs,705,Card,7,$358.21 ,12/6/2021 5:33,Nigeria,Konkwesso,amazon.com,95-6449195,Y,
